SL #,Unique Code (SKU),Category,Product Name (English),Product Name (Bangla),Package / Unit,Price (BDT ৳),Stock Status,Image File Name
1,NA-SNK-001,Snacks & Dry Foods,Bombay Sweets Chanachur - Mega Family Pack (500g),বোম্বে সুইটস চানাচুর - মেগা ফ্যামিলি প্যাক (৫০০ গ্রাম),500g pack,140,Available / In Stock,chanachur.jpg
2,NA-SNK-002,Snacks & Dry Foods,Pran Special Jhal Chanachur - Family Pack (500g),প্রাণ স্পেশাল ঝাল চানাচুর - ফ্যামিলি প্যাক (৫০০ গ্রাম),500g pack,135,Available / In Stock,chanachur.jpg
3,NA-SNK-003,Snacks & Dry Foods,Ruchi BBQ Chanachur - Twin Pack (2 x 300g = 600g),রুচি বিবিকিউ চানাচুর - টুইন প্যাক (৬০০ গ্রাম),600g (2 packs),180,Available / In Stock,chanachur.jpg
4,NA-SNK-004,Snacks & Dry Foods,Radhuni Special Chanachur - Mega Value Pack (500g),রাঁধুনী স্পেশাল চানাচুর - মেগা প্যাক (৫০০ গ্রাম),500g pack,145,Available / In Stock,chanachur.jpg
5,NA-SNK-005,Snacks & Dry Foods,Pran Tok-Jhal-Misti Chanachur - Family Pack (500g),প্রাণ টক-ঝাল-মিষ্টি চানাচুর - ফ্যামিলি প্যাক (৫০০ গ্রাম),500g pack,135,Available / In Stock,chanachur.jpg
6,NA-SNK-006,Snacks & Dry Foods,Bombay Sweets Alooz Potato Chips - Party Box (6 x 50g = 300g),আলুজ টমেটো চিপস - পার্টি বক্স (৬ প্যাকেট = ৩০০ গ্রাম),Box of 6 packs,180,Available / In Stock,potato_chips.jpg
7,NA-SNK-007,Snacks & Dry Foods,Sun Chips Sour Cream & Onion - Party Bundle (4 x 75g = 300g),সান চিপস সাওয়ার ক্রিম - পার্টি বান্ডিল (৪ প্যাকেট),Pack of 4,180,Available / In Stock,potato_chips.jpg
8,NA-SNK-008,Snacks & Dry Foods,Lays Classic Salted Potato Chips - Multipack (4 x 50g = 200g),লেয়স ক্লাসিক সল্টেড চিপস - মাল্টিপ্যাক (৪ প্যাকেট),Pack of 4,160,Available / In Stock,potato_chips.jpg
9,NA-SNK-009,Snacks & Dry Foods,Doritos Nacho Cheese Tortilla Chips - Party Pack (2 x 80g = 160g),ডরিটোস নাচো চিজ চিপস - টুইন প্যাক (১৬০ গ্রাম),Pack of 2,130,Available / In Stock,nacho_chips.jpg
10,NA-SNK-010,Snacks & Dry Foods,Olympic Energy Toast Biscuits - Giant Family Box (700g),অলিম্পিক এনার্জি টোস্ট বিস্কুট - জায়ান্ট বক্স (৭০০ গ্রাম),700g Giant Box,150,Available / In Stock,toast_biscuits.jpg
11,NA-SNK-011,Snacks & Dry Foods,Olympic Dry Cake Rusk - Large Bakery Pack (600g),অলিম্পিক ড্রাই কেক - লার্জ বেকারি প্যাক (৬০০ গ্রাম),600g Box,175,Available / In Stock,dry_cake.jpg
12,NA-SNK-012,Snacks & Dry Foods,Olympic Nutty Peanut Cookies - Twin Box (2 x 300g = 600g),অলিম্পিক নাটি কুকিজ - টুইন বক্স (৬০০ গ্রাম),600g (2 Boxes),170,Available / In Stock,butter_cookies.jpg
13,NA-SNK-013,Snacks & Dry Foods,Danish Lexing Butter Cookies - Royal Gift Tin (400g),ড্যানিশ বাটার কুকিজ টিন (৪০০ গ্রাম),400g Royal Tin,420,Available / In Stock,butter_cookies.jpg
14,NA-SNK-014,Snacks & Dry Foods,Pran Potata Spicy Potato Biscuits - Value Box (6 x 100g = 600g),প্রাণ পটাটা স্পাইসি বিস্কুট - বক্স (৬ প্যাকেট = ৬০০ গ্রাম),Box of 6 packs,210,Available / In Stock,potato_chips.jpg
15,NA-SNK-015,Snacks & Dry Foods,Britannia Good Day Butter Cookies - Family Bundle (4 x 200g = 800g),ব্রিটানিয়া গুড ডে বাটার কুকিজ - মেগা বান্ডিল (৮০০ গ্রাম),Bundle of 4 packs,240,Available / In Stock,butter_cookies.jpg
16,NA-SNK-016,Snacks & Dry Foods,Oreo Vanilla Cream Cookies - Party Multipack (4 x 120g = 480g),ওরিও ভ্যানিলা ক্রিম কুকিজ - পার্টি প্যাক (৪ প্যাকেট),Pack of 4,200,Available / In Stock,chocolate_biscuits.jpg
17,NA-SNK-017,Snacks & Dry Foods,Crispy Fried Salted Peanuts / Badam - Large Jar (500g),ভাজা চিনাবাদাম সল্টেড - ফ্যামিলি জার (৫০০ গ্রাম),500g Jar,150,Available / In Stock,roasted_peanuts.jpg
18,NA-SNK-018,Snacks & Dry Foods,Masala Spiced Roasted Peanuts - Large Jar (500g),মশলা চিনা বাদাম - ফ্যামিলি জার (৫০০ গ্রাম),500g Jar,165,Available / In Stock,roasted_peanuts.jpg
19,NA-SNK-019,Snacks & Dry Foods,Fried Green Peas / Motor Bhaja - Family Pack (400g),মুচমুচে মটর ভাজা - ফ্যামিলি প্যাক (৪০০ গ্রাম),400g pack,120,Available / In Stock,fried_peas.jpg
20,NA-SNK-020,Snacks & Dry Foods,Spicy Dal Mut / Dal Bhaja - Mega Pack (500g),ডাল ভাজা / ডাল মুট - মেগা প্যাক (৫০০ গ্রাম),500g pack,125,Available / In Stock,dal_bhaja.jpg
21,NA-SNK-021,Snacks & Dry Foods,Traditional Crunchy Crispy Nimki - Bakery Jar (500g),মুচমুচে নিমকি - বেকারি জার (৫০০ গ্রাম),500g Jar,120,Available / In Stock,nimki.jpg
22,NA-SNK-022,Snacks & Dry Foods,Sweet & Salty Ghee Khaja - Special Box (500g),ঘি ভাজা মিষ্টি খাজা - স্পেশাল বক্স (৫০০ গ্রাম),500g Box,180,Available / In Stock,nimki.jpg
23,NA-SNK-023,Snacks & Dry Foods,Roasted Spiced Kaju Almond Mix - Gourmet Jar (300g),স্পাইসি কাজু ও কাঠবাদাম মিক্স (৩০০ গ্রাম জার),300g Jar,480,Available / In Stock,roasted_peanuts.jpg
24,NA-SNK-024,Snacks & Dry Foods,Hand-Roasted Deshi Muri / Puffed Rice - Mega Sack (1kg Bag),হাতে ভাজা দেশি মুড়ি - মেগা ব্যাগ (১ কেজি),1 kg Bag,110,Available / In Stock,puffed_rice.jpg
25,NA-SNK-025,Snacks & Dry Foods,Chira Bhaja Spiced Crispy Flattened Rice - Family Jar (500g),মুচমুচে চিড়া ভাজা - ফ্যামিলি জার (৫০০ গ্রাম),500g Jar,100,Available / In Stock,puffed_rice.jpg
26,NA-SNK-026,Snacks & Dry Foods,Olympic Tip Top Salted Crackers - Twin Value Pack (2 x 250g = 500g),টিপ টপ সল্টেড বিস্কুট - টুইন প্যাক (৫০০ গ্রাম),500g (2 packs),120,Available / In Stock,toast_biscuits.jpg
27,NA-SNK-027,Snacks & Dry Foods,Kurkure Masala Munch - Multipack of 4 (4 x 90g = 360g),কুরকুরে মশলা মাঞ্চ - ৪ প্যাকেট বান্ডিল (৩৬০ গ্রাম),Pack of 4,160,Available / In Stock,nacho_chips.jpg
28,NA-SNK-028,Snacks & Dry Foods,Special Jhal Muri Ready Mix - Family Pack (500g),ঝাল মুড়ি রেডি মিক্স - ফ্যামিলি প্যাক (৫০০ গ্রাম),500g pack,100,Available / In Stock,jhal_muri.jpg
29,NA-FSH-029,Fish & Vegetables,Fresh River Rui Fish - Clean Sliced (1kg Net Weight),তাজা রুই মাছ - কাটা ও পরিষ্কার (১ কেজি নেট),1 kg (Net Slices),420,Available / In Stock,rui_fish.jpg
30,NA-FSH-030,Fish & Vegetables,Fresh Katla Fish - Clean Sliced (1kg Net Weight),কাতলা মাছ - কাটা ও পরিষ্কার (১ কেজি নেট),1 kg (Net Slices),460,Available / In Stock,katla_fish.jpg
31,NA-FSH-031,Fish & Vegetables,"River Pabda Fish - Clean Dressed (500g Net, 8-10 pcs)","পাবদা মাছ - পরিষ্কার (৫০০ গ্রাম, ৮-১০ পিস)",500g pack,480,Available / In Stock,pabda_fish.jpg
